council,item_id,item_desc,score,evidence,confidence
City of Kalamunda,P7,First Peoples acknowledgement,1,"'Acknowledgement of Country' to the Whadjuk Noongar People opens the document; generic, not tied to specific climate actions or joint planning",partial
City of Kalamunda,P8,Justice or equity content,1,"Notes health impacts fall disproportionately on 'the very young and our elderly'; no explicit equity or justice framing beyond this",partial
City of Kalamunda,P9,Biodiversity or natural-environment link,2,"Focus 4 names 'Loss of biodiversity' as a key risk and includes actions to 'Develop thresholds for unacceptable change in the condition of natural areas' and expand the Local Biodiversity Strategy",confirmed present
City of Kalamunda,P10,Document form,standalone,"Dedicated Climate Change Action Plan 2023-2034, the City's first",descriptive
City of Kalamunda,P11,Stated purpose or driver,committee and community engagement,"Two stages of community consultation (2021, and targeted consultation June-July 2022) plus an internal working group and the Environmental and Sustainability Committee",interpretive context
City of Kalamunda,P12,Reference to which WALGA instrument,WALGA Declaration named directly,"'As a signatory of the Western Australian Local Government Association (WALGA) Climate Change Declaration the City of Kalamunda recognises...' Clear and unambiguous",confirmed; full PDF read directly (was previously a search-engine summary)
City of Busselton,P1,Named target with baseline and date,2,"'To generate 100% of the City of Busselton electricity needs from renewable sources by 2030.' 'To reduce City of Busselton corporate carbon emissions per capita to 50% on 2017/18 levels by 2030.'",confirmed present; full page read (prior pass's fetch was truncated mid-sentence)
City of Busselton,P2,Named responsible person or committee,0,No named officer or committee found on this page,not found
City of Busselton,P3,Budget or resourcing commitment,0,Not stated on this page,not found
City of Busselton,P4,Reporting or review cadence,0,Not stated on this page (may exist in the underlying Energy Strategy PDF, not fetched),not found on this page
City of Busselton,P5,Mitigation and adaptation both addressed,2,"Mitigation: Energy Strategy (endorsed Dec 2019) and CPP pledges. Adaptation: dedicated 'Climate Change Adaptation' section covering the Peron Naturaliste Partnership and a Coastal Adaptation Strategy in development",confirmed present; the truncated prior fetch never reached this section
City of Busselton,P6,Cross-council collaboration,2,"Member of the Peron Naturaliste Partnership, 'a network of local governments committed to monitoring, identifying and managing coastal assets'; also a Cities Power Partnership member",confirmed present
City of Busselton,P7,First Peoples acknowledgement,1,"'The City of Busselton acknowledges the Traditional Custodians, the Wadandi people...' Generic, footer-style, not tied to climate planning specifically",partial
City of Busselton,P8,Justice or equity content,0,Not found on this page,not found
City of Busselton,P9,Biodiversity or natural-environment link,1,"'Loss of biodiversity' listed as a climate change impact; not itself the subject of a stated program or commitment on this page",partial
City of Busselton,P10,Document form,mixed,"References a Sustainability Policy, a separate Energy Strategy (2019), and a Coastal Adaptation Strategy in development, not one unified climate strategy document",descriptive
City of Busselton,P11,Stated purpose or driver,unclear,Not evidenced on this page,interpretive context
City of Busselton,P12,Reference to which WALGA instrument,WALGA Declaration named directly,"'is a signatory to the WALGA Climate Change Declaration.' Clear and unambiguous",confirmed; full page read directly
Shire of Denmark,P1,Named target with baseline and date,2,"'delivering a 50% reduction by 2030 and achieving net zero emissions by 2050'; baseline stated separately: 'establishing an emissions baseline starting from 2018/19'",confirmed; full Carbon Reduction Policy PDF read directly (prior pass wrongly assumed this PDF was image-based)
Shire of Denmark,P2,Named responsible person or committee,2,"Document Control Box: Owner = Governance Coordinator, Reviewer = CEO, Decision Maker = Council; body text further assigns 'Councillors and the Executive Leadership Team' for leadership, 'the CEO for reporting,' and 'Team Managers and their teams' for delivery",confirmed present
Shire of Denmark,P3,Budget or resourcing commitment,1,"'Pursuing funding opportunities that will contribute to the Council's carbon reduction measures' is a stated commitment, but no specific budget line or figure is given",partial
Shire of Denmark,P4,Reporting or review cadence,2,"'Carbon emissions are reported every five (5) years, with targets reviewed and updated as necessary. Formal review of the Carbon Action Plan on a biennial basis... Formal policy review cycles every five (5) years'",confirmed present
Shire of Denmark,P5,Mitigation and adaptation both addressed,1,"Policy is explicitly a carbon-reduction (mitigation) policy by title and scope; adaptation appears only indirectly, via a commitment to document 'the approach to proactively managing asset impacts from climate change in the Strategic Asset Management Plan' and to 'empower the community to adapt'",partial; mitigation is the clear primary focus
Shire of Denmark,P6,Cross-council collaboration,1,"'Support collaborative carbon-reduction stewardship through partnerships with government, not-for-profits, the private sector and Traditional Owners' -- general partnership language, not a named cross-council program",partial
Shire of Denmark,P7,First Peoples acknowledgement,2,"Explicitly names partnership 'with...Traditional Owners to uphold culturally informed, ecologically sound carbon-reduction management' -- tied directly to the climate policy's own delivery, not a generic footer acknowledgement",confirmed present; stronger than most councils in this sample
Shire of Denmark,P8,Justice or equity content,1,"Policy statement names 'equity' explicitly: 'prioritising sustainability, resilience, and equity while enabling our community to adapt in a changing climate' -- stated as a value, not elaborated with a specific mechanism",partial
Shire of Denmark,P9,Biodiversity or natural-environment link,2,"'Increasing carbon sequestration and biodiversity through land management practices, including expanded urban greening and tree planting, managing reserves for biodiversity, protecting and rehabilitating coastal ecosystems, and protecting native vegetation'",confirmed present
Shire of Denmark,P10,Document form,standalone but narrow,"'Carbon Reduction Policy' is a dedicated document, adopted by Council 26 Aug 2025 (Resolution 140825), but narrower in scope than a full climate strategy",descriptive
Shire of Denmark,P11,Stated purpose or driver,Council values / leading by example,"'We have this policy because we recognise our responsibility to lead by example...' No external funding round, election commitment or state requirement named as the driver",interpretive context
Shire of Denmark,P12,Reference to which WALGA instrument,WALGA Declaration named directly,"'In line with the Council's commitment to the WALGA Climate Change Declaration, it acknowledges...' and Strategic Alignment lists 'WALGA Climate Change Declaration (2010).' Clear and unambiguous reference to the correct instrument.",confirmed; full PDF read directly, resolves prior pass's 'unconfirmed in this specific document' flag
City of Joondalup,P1,Named target with baseline and date,2,"'Reduce net greenhouse gas emissions by 80 per cent below 2021-22 emissions by 2030-31' (corporate) and 'Achieve net zero emissions by 2050' (corporate); historic target already reported achieved: 10.85% per-capita reduction by 2018-19 against a 2012-13 baseline",confirmed; full Climate Change Plan 2025-2035 PDF read directly
City of Joondalup,P2,Named responsible person or committee,0,No specific named officer or standing committee for ongoing Plan delivery found in this document,not found in this document
City of Joondalup,P3,Budget or resourcing commitment,1,"Implementation runs through the City's 'Annual Budget' process and a stated objective to 'Maximise funding opportunities'; no dedicated budget line or figure given",partial
City of Joondalup,P4,Reporting or review cadence,2,"'the Climate Change Plan 2025-2035 will be reviewed on an annual basis'; outcomes 'will be reported annually in the Annual Report and State of the Environment Report'",confirmed present
City of Joondalup,P5,Mitigation and adaptation both addressed,2,"'Responding effectively to climate change involves preventing and reducing greenhouse gas emissions (mitigation) and adapting to climate change impacts as they occur (adaptation)' -- both explicitly structured through the Plan",confirmed present
City of Joondalup,P6,Cross-council collaboration,2,"Cities Power Partnership member (described elsewhere as collaborating with '180 other local governments'); WALGA Sustainable Energy Project for contestable electricity supply",confirmed present
City of Joondalup,P7,First Peoples acknowledgement,1,"Acknowledgement of Country to the Whadjuk Noongar people opens the document; generic, not tied to specific climate actions",partial
City of Joondalup,P8,Justice or equity content,1,"Identifies specific areas/groups as 'particularly vulnerable' to climate impacts (e.g. coastal land, heat-affected areas); no explicit equity or justice framework beyond vulnerability identification",partial
City of Joondalup,P9,Biodiversity or natural-environment link,2,"Notes the City sits in a global biodiversity hotspot; biodiversity loss assessed as a direct climate risk and linked to the Plan's response measures",confirmed present
City of Joondalup,P10,Document form,standalone,"Dedicated 'Climate Change Plan 2025-2035', builds on and supersedes the 'Climate Change Strategy 2014-2019'; described elsewhere as an early mover (first strategy 2014)",descriptive
City of Joondalup,P11,Stated purpose or driver,early-mover leadership + WALGA commitment,"City recognised internationally as an early adopter of a climate strategy (2014); separately and earlier, became a WALGA Declaration signatory in Sept 2013. Both threads run in parallel in this document, not one causing the other.",interpretive context
City of Joondalup,P12,Reference to which WALGA instrument,WALGA Declaration named directly; CORRECTED from 'not confirmed',"'At the September 2013 City of Joondalup Council Meeting, Council endorsed the City becoming a signatory to the WALGA Climate Change Declaration.' Directly contradicts the City's own initiatives summary webpage, which states the City is 'not stated as a signatory to any declaration.' Reclassified from comparison to signatory group on the strength of this primary document; see data/signatory-sample.csv.",confirmed via full PDF; MOVED from the comparison matrix this pass
City of Cockburn,P1,Named target with baseline and date,2,"'net zero corporate emissions by 2030' and 'net zero community emissions by 2050'; the Strategy separately commits to 'Establish a Climate Active emissions baseline, annually monitor and report emissions' -- the target dates are explicit but the numeric baseline year for the net-zero targets themselves is not stated as a single figure in the text extracted",confirmed present, with a caveat: baseline is procedural ('establish a baseline') rather than a stated historical year
City of Cockburn,P2,Named responsible person or committee,2,"'Employ a full-time Climate Change Officer to deliver this Strategy' (role sits within Manager, Parks and Environment); actions throughout are assigned to named roles (Manager Parks and Environment, Executive, Manager Infrastructure Services, Manager Finance, Manager Waste)",confirmed present
City of Cockburn,P3,Budget or resourcing commitment,2,"'Continue investment in the Greenhouse Action Fund using financial savings from energy reduction and renewable energy projects'; separate 'over $1m' ESD budget item and Fossil Free Investment policy reference",confirmed present
City of Cockburn,P4,Reporting or review cadence,2,"'Review the Climate Change Strategy in 2025 and update the action plans'; continuing NGERs annual landfill-emissions reporting; 'State of Sustainability reporting' commenced 2012",confirmed present
City of Cockburn,P5,Mitigation and adaptation both addressed,2,"Explicit corporate/community net zero and renewables targets (mitigation); a dedicated set of adaptation objectives including 'Conserve biodiversity' and coastal hazard planning (adaptation)",confirmed present
City of Cockburn,P6,Cross-council collaboration,2,"Cities Power Partnership member (joined 2019); active in the WALGA CHRMAP (Coastal Hazard Risk Management and Adaptation Planning) Forum, described as bringing WA's coastal local governments together; South West Group and business-chamber partnerships",confirmed present
City of Cockburn,P7,First Peoples acknowledgement,2,"'Whadjuk Nyungar people of Beeliar boodja' acknowledged in both English and Nyungar language, prominently in the document's framing; still a general acknowledgement rather than joint planning",confirmed present (stronger than a footer-only acknowledgement, short of full joint-planning evidence)
City of Cockburn,P8,Justice or equity content,1,"Action item to 'map vulnerable residents' as part of a heat/health response; no broader stated equity or justice framework",partial
City of Cockburn,P9,Biodiversity or natural-environment link,2,"Dedicated biodiversity section; 'Conserve biodiversity' is one of the Strategy's stated adaptation objectives, with specific actions attached",confirmed present
City of Cockburn,P10,Document form,standalone,"Dedicated 'Climate Change Strategy 2020-2030', endorsed by Council in 2020",descriptive
City of Cockburn,P11,Stated purpose or driver,state-government alignment + sustainability leadership history,"Targets explicitly framed as 'aligning with the WA government's proposed emissions reduction target'; City also names a history of sustainability recognition (Australian Sustainable Cities Award winner, 2012)",interpretive context
City of Cockburn,P12,Reference to which WALGA instrument,WALGA Declaration named directly; CORRECTED from 'not confirmed',"'In 2012 the City signed the WALGA Climate Change declaration and continues to work with this peak body to advocate for changes in regulation and policy...' Restated on the Strategy's own timeline graphic. One of the cleanest, most directly confirmed signing dates found anywhere in this project. Reclassified from comparison to signatory group; see data/signatory-sample.csv.",confirmed via full PDF; MOVED from the comparison matrix this pass
City of Bunbury,P1,Named target with baseline and date,2,"'greenhouse gas emissions reduction target of 35 per cent on operational emissions from 2020/21 levels by mid-2026' and 'an overarching target of net zero...by the year 2035' -- more specific than the earlier search-engine summary's '2040, aspirational 2035'",confirmed present; full Sustainability and Environmental Strategy 2023-2028 PDF read directly
City of Bunbury,P2,Named responsible person or committee,2,"Saphron Wheeler, Environmental Sustainability Officer, named as contact; Audit Committee named in the governance structure for risk/legislative-compliance oversight",confirmed present
City of Bunbury,P3,Budget or resourcing commitment,1,"Strategy 'will be used to inform the City's Corporate Business Plan, Long Term Financial Plan and Annual Budgets for the period 2023-2028'; no standalone budget figure or dedicated fund named (unlike Cockburn's Greenhouse Action Fund)",partial
City of Bunbury,P4,Reporting or review cadence,2,"'reviewed annually'; 'will be reviewed and updated in 2026 and in 2028'; 'monitored annually and reported to Council at the end of each financial year'",confirmed present
City of Bunbury,P5,Mitigation and adaptation both addressed,2,"'Energy and Emissions' is a dedicated mitigation focus area; 'Climate Resilience and Community' is a dedicated adaptation focus area",confirmed present
City of Bunbury,P6,Cross-council collaboration,2,"'Cities Power Partnership: The City is a signatory of the Cities Power Partnership program, pledging action on climate, public transport advocacy, collaboration...' -- now confirmed via the primary document (the prior pass could only find an unverified lead)",confirmed present
City of Bunbury,P7,First Peoples acknowledgement,2,"Commissioned local Noongar artist Melissa Gail Riley for the document's design; dedicated Acknowledgement of Country to the 'Noongar Wardandi people'; an explicit adaptation action to 'Collaborate with Traditional Owners, Knowledge Holders and Elders' on fire and natural-area management",confirmed present; tied to specific climate actions, not only a generic acknowledgement
City of Bunbury,P8,Justice or equity content,2,"'Inter and intra-generational equity' listed explicitly as one of the Strategy's stated guiding principles; the Index of Relative Socio-economic Disadvantage (IRSD) is named as a tracked performance measure",confirmed present; explicit and checkable
City of Bunbury,P9,Biodiversity or natural-environment link,2,"'Greening and Biodiversity' is a dedicated focus area with its own outcomes (increased tree canopy, improved biodiversity rehabilitation and protection)",confirmed present
City of Bunbury,P10,Document form,standalone,"Dedicated 'Sustainability and Environmental Strategy 2023-2028', unanimously supported by Council on 5 September 2023",descriptive
City of Bunbury,P11,Stated purpose or driver,community priority + prior Council commitments,"MARKYT Community Scorecard cited as showing sustainability/climate as a top community priority; follows Council's 2022 WALGA Declaration signing and a 2022 Climate Change Policy",interpretive context
City of Bunbury,P12,Reference to which WALGA instrument,Both WALGA instruments named and correctly distinguished; CORRECTED from 'not confirmed',"'It follows the Council in 2022 signing the Western Australian Local Government Association (WALGA) Declaration on Climate Change...' AND, separately and correctly identified as a different instrument: '...support WALGA's Policy Statement on Climate Change 2018.' Reclassified from comparison to signatory group; see data/signatory-sample.csv. Notably the one document in this whole project that names both WALGA instruments and keeps them straight -- useful as a model example for what P12 is checking for.",confirmed via full PDF; MOVED from the comparison matrix this pass
